barangay,pct_high,pct_medium,pct_total_hazard,risk_level,total_hazard_has,barangay_area_has
Cabugwang,55.83,10.77,66.6,Very High,574.83,863.08
Cabibihan,28.32,11.16,39.48,High,260.69,660.31
Victoria,19.13,12.87,32.0,High,116.43,363.91
Malbog,21.03,8.07,29.1,Moderate,97.1,333.69
Mangayao,11.67,8.68,20.35,Moderate,108.69,534.21
Cagascas,12.8,6.08,18.88,Moderate,61.12,323.7
ManatoStation,11.21,7.34,18.55,Moderate,53.82,290.15
Casispalan,11.28,7.0,18.28,Moderate,654.6,3582.07
ManatoCentral,10.88,5.85,16.73,Moderate,90.4,540.57
DelRosario,8.83,7.0,15.83,Moderate,143.03,903.57
Bosigon,11.77,4.0,15.77,Moderate,407.34,2582.58
Seguiwan,3.29,12.36,15.65,Moderate,126.23,806.94
Katimo,2.42,11.91,14.33,Moderate,87.93,613.45
Payapa,5.5,7.28,12.78,Moderate,119.41,934.1
SantoNiñoII,7.11,4.21,11.32,Moderate,112.93,998.13
Bukal,4.53,3.21,7.74,Low,48.66,628.25
Landing,4.73,2.63,7.36,Low,155.25,2109.08
SanRoque,3.93,3.2,7.13,Low,44.83,628.99
Maguibuay,3.74,2.2,5.94,Low,544.78,9173.47
BagongSilang,4.03,1.6,5.63,Low,273.3,4860.08
Kinatakutan,2.99,2.2,5.19,Low,63.86,1229.14
Tabason,2.53,2.64,5.17,Low,47.1,909.69
SantoNiñoI,2.5,2.6,5.1,Low,50.0,979.55
Mapulot,3.13,1.67,4.8,Low,184.67,3851.37
SantaMonica,2.02,2.65,4.67,Low,171.34,3668.72
MuntingParang,2.19,1.93,4.12,Low,21.98,533.6
Bamban,0.37,3.24,3.61,Low,35.27,977.27
Tunton,1.73,1.19,2.92,Low,97.04,3324.42
SantoTomas,0.74,1.92,2.66,Low,32.24,1210.01
SanIsidro,0.58,0.88,1.46,Low,6.32,433.63
Candalapdap,0.0,0.0,0.0,None,0.0,746.71
Aldavoc,0.0,0.0,0.0,None,0.0,5.45
Aliji,0.0,0.0,0.0,None,0.0,198.73
Colong-Colong,0.0,0.0,0.0,None,0.0,713.29
Laurel,0.0,0.0,0.0,None,0.0,575.81
Magsaysay,0.0,0.0,0.0,None,0.0,67.97
Mahinta,0.0,0.0,0.0,None,0.0,173.71
Poblacion,0.0,0.0,0.0,None,0.0,36.51
Mansilay,0.0,0.0,0.0,None,0.0,796.01
SantaCecilia,0.0,0.0,0.0,None,0.0,65.96
SanVicente,0.0,0.0,0.0,None,0.0,808.09
Sabang,0.0,0.0,0.0,None,0.0,470.94
Rizal,0.0,0.0,0.0,None,0.0,50.74
SanDiego,0.0,0.0,0.0,None,0.0,373.74
SanFrancisco,0.0,0.0,0.0,None,0.02,1284.86
